ID,collection_date,longitude,latitude,days_death
2865,2024-12-02,3983882.52721158,2973062.05469469,302
2910,2024-12-02,3989005.65348326,2994074.29694468,302
3371,2024-12-02,4003305.6777747,2934705.31071585,302
3419,2024-12-02,4019428.1474448,2976609.78521033,302
2344,2024-12-03,4016525.27380062,2929639.92849129,303
2555,2024-12-03,4018907.24126036,2972604.47117291,303
3319,2024-12-03,3984862.73791234,2978496.70928275,303
2332,2024-12-04,4024357.48248453,2959741.51303325,304
2614,2024-12-04,4016889.2256978,2951109.7976174,304
2764,2024-12-04,4001400.19427982,2994394.82326021,304
3196,2024-12-04,3990551.389298,2991116.31260546,304
3279,2024-12-04,4029784.39441746,2960734.96098404,304
2356,2024-12-05,4007588.29939118,2962749.34283745,305
2482,2024-12-05,3983008.98738562,2945875.23125992,305
2510,2024-12-05,4019545.94523467,2952109.82643114,305
2522,2024-12-05,3979668.54634258,2971185.82383549,305
2557,2024-12-05,4006945.92743538,2997710.588959,305
2597,2024-12-05,3975293.14891875,2989842.01009346,305
2956,2024-12-05,3992688.15223856,2925145.00776906,305
2343,2024-12-06,3980281.76182674,2968306.40000343,306
2416,2024-12-06,4020887.26443437,2987477.37882311,306
2525,2024-12-06,3991289.14273102,2989638.82148176,306
2558,2024-12-06,3987196.30011334,2992285.59532419,306
2721,2024-12-06,4028606.12064896,2978534.64245115,306
2944,2024-12-06,3998381.27923586,2920401.06381896,306
2498,2024-12-07,3988459.01447418,2992666.79433683,307
2530,2024-12-07,4003534.9388479,2934179.95863533,307
2692,2024-12-07,4006793.28564327,2947459.15451375,307
2722,2024-12-07,3992032.85869321,2926365.89282387,307
2774,2024-12-07,4012897.25966196,2932287.95234901,307
2848,2024-12-07,3979060.66170772,2972651.03211452,307
3407,2024-12-07,4033506.48952432,2980780.60536635,307
3430,2024-12-07,3981044.0435569,2964966.59391097,307
2809,2024-12-08,3985992.48734098,2954048.92071328,308
2815,2024-12-08,4025963.97133397,2958748.62905938,308
2978,2024-12-08,4024529.83462307,2983050.34718007,308
3230,2024-12-08,3979020.63534065,2973729.75801082,308
3285,2024-12-08,3997096.64389527,2919602.43656154,308
3379,2024-12-08,3998364.14156122,2977618.1014627,308
3408,2024-12-08,4026319.3559126,2976366.88752473,308
3720,2024-12-08,3992110.22749122,2921173.49097595,308
2665,2024-12-09,4029172.52871989,2977932.12923736,309
2833,2024-12-09,4030777.8869741,2981680.47303912,309
3692,2024-12-09,4031513.06984915,2962788.75730104,309
3861,2024-12-09,4014230.17052449,2988691.09922478,309
2684,2024-12-10,4022543.81343233,2972261.00899773,310
2752,2024-12-10,3998260.05488754,2915445.98949519,310
2772,2024-12-10,4023481.73862781,2948514.91275521,310
3552,2024-12-10,4014319.41171327,2929549.15448288,310
2602,2024-12-11,3985897.01748133,2938419.80181586,311
2708,2024-12-11,4001393.21249698,2990839.93737,311
2950,2024-12-11,3998936.10375848,2981361.91524686,311
2951,2024-12-11,3981518.48058768,2972991.69713547,311
3283,2024-12-11,4021413.31569397,2929433.2786231,311
3867,2024-12-11,3977403.23566203,2969305.94088613,311
4051,2024-12-11,4021946.76988061,2948567.44507213,311
4244,2024-12-11,4023492.62810887,2949776.98317083,311
2741,2024-12-12,4024376.13952263,2975909.47708174,312
2770,2024-12-12,4017180.24946972,2993122.23412721,312
2835,2024-12-12,4013250.94705383,2929627.76770474,312
3439,2024-12-12,4000533.06604605,2993167.16077152,312
3533,2024-12-12,4021874.19366558,2985515.3454905,312
2736,2024-12-13,3985466.85142766,2974589.51068732,313
2966,2024-12-13,3982830.85113383,3001288.6316165,313
3289,2024-12-13,4019888.74562276,2978668.83765584,313
3311,2024-12-13,3996695.70945713,2990630.52437033,313
3648,2024-12-13,3999477.76089127,2933313.28559176,313
3709,2024-12-13,3969516.19582434,2998493.37291604,313
4011,2024-12-13,4012126.15090308,2932458.09755856,313
4419,2024-12-13,3974351.96311131,2971121.67375264,313
2991,2024-12-14,4022850.60967343,2980195.62196837,314
3061,2024-12-14,3985329.32547145,2994271.36334621,314
3094,2024-12-14,3988525.51853604,2942676.59454707,314
4045,2024-12-14,4013327.66495494,2932929.78745957,314
2927,2024-12-15,3975756.32514528,2970128.11995167,315
2935,2024-12-15,3974065.15648484,2964290.4459428,315
3043,2024-12-15,3986615.15501141,2952530.82282498,315
3591,2024-12-15,4022807.73969608,2944893.69584032,315
3909,2024-12-15,4016507.22775017,2971351.70524762,315
4214,2024-12-15,4031407.26068234,2977558.89366706,315
